,id,location,x,y
228,228,Murray Hill,-73.97254944,40.746521
229,229,Gramercy,-73.98988342,40.73525238
230,230,Murray Hill,-73.97547913,40.74981308
231,231,Chelsea,-73.99557495,40.75481796
232,232,Central Park,-73.94992828,40.77203751
233,233,Midtown,-73.98451996,40.74574661
234,234,Murray Hill,-73.97462463,40.75106049
235,235,Midtown,-73.98094177,40.74437332
236,236,Central Park,-73.95726013,40.77048874
237,237,Battery Park City,-74.01615143,40.70991135
238,238,Chelsea,-73.99031067,40.75093842
239,239,West Village,-74.00508881,40.73099899
240,240,Chelsea,-73.99398041,40.75120163
241,241,Flatiron District,-73.98693848,40.73944092
242,242,Gramercy,-73.97987366,40.73516083
243,243,Chelsea,-73.99188232,40.74993896
244,244,Greenwich Village,-73.99655151,40.73730087
245,245,Tribeca,-74.00878143,40.71905518
246,246,Chelsea,-73.99523926,40.74982071
247,247,Chelsea,-74.00081635,40.75234985
248,248,Battery Park City,-74.01686096,40.7063179
249,249,Roosevelt Island,-73.95657349,40.76701736
250,250,Central Park,-73.96696472,40.76984787
251,251,Greenwich Village,-74.00275421,40.72864151
252,252,Midtown,-73.98223114,40.7651329
253,253,Red Hook,-74.00020599,40.67845154
254,254,Midtown,-73.98362732,40.74764252
255,255,Central Park,-73.95172882,40.76948929
256,256,Roosevelt Island,-73.95570374,40.76848221
257,257,Gramercy,-73.98813629,40.73800659
258,258,Greenwich Village,-73.99387359999999,40.73526001
259,259,East Village,-73.98641968,40.73462677
260,260,Central Park,-73.95574188,40.78190994
261,261,Central Park,-73.95587158,40.779304499999995
262,262,Kips Bay,-73.97890472,40.74076843
263,263,West Village,-73.99958038,40.73851013
264,264,East Village,-73.98578644,40.73095322
265,265,Hell's Kitchen,-73.99021912,40.7562561
266,266,Central Park,-73.95265198,40.78358078
267,267,Upper East Side,-73.9495697,40.78115082
268,268,Murray Hill,-73.97713470000001,40.751945500000005
269,269,Roosevelt Island,-73.95365143,40.76694107
270,270,Battery Park City,-74.014328,40.70943451
271,271,Chelsea,-73.99277496,40.74300003
272,272,West Village,-74.00835419,40.73612595
273,273,Roosevelt Island,-73.96154785,40.75778579999999
274,274,Tribeca,-74.00882721,40.71916962
275,275,Murray Hill,-73.97737122,40.74959183
276,276,Central Park,-73.95090485,40.7715683
277,277,,-73.98413849,40.76818085
278,278,Chelsea,-73.99071503,40.75111771
279,279,Hell's Kitchen,-73.98999023,40.75730515
280,280,Central Park,-73.9617157,40.76428223
281,281,Tribeca,-74.00520325,40.71846008
282,282,East Village,-73.98139191,40.72890854
283,283,Midtown,-73.98239899,40.75136948
284,284,,-73.98275757,40.77191162
285,285,Central Park,-73.95050049,40.7797699
286,286,Midtown,-73.96589661,40.75969315
287,287,Chinatown,-73.99549103,40.71709061
288,288,Chelsea,-73.995224,40.74974442
289,289,LaGuardia Airport,-73.87276459,40.77375412
290,290,West Village,-74.00558472,40.73876572
291,291,Upper West Side,-73.97458649,40.78794098
292,292,Central Park,-73.96511841,40.76916122
293,293,Central Park,-73.95677185,40.77806854
294,294,Tribeca,-74.00994873,40.72114182
295,295,Murray Hill,-73.97471619,40.75032806
296,296,Midtown,-73.97954559,40.74933243
297,297,Roosevelt Island,-73.95491028,40.76573563
298,298,East Village,-73.98733521,40.72471619
299,299,Midtown,-73.98136139,40.76461792
300,300,Battery Park City,-74.01625061,40.71480942
301,301,Murray Hill,-73.97840881,40.74823761
302,302,Murray Hill,-73.97441101,40.74965668
303,303,Theater District,-73.98791504,40.75463867
304,304,,-73.98709869,40.77111816
305,305,Financial District,-74.00460052,40.70684814
306,306,Chinatown,-73.99246216,40.714260100000004
307,307,Midtown,-73.97569275,40.76501846
308,308,Central Park,-73.96222687,40.77307892
309,309,Kips Bay,-73.98260498,40.73962784
310,310,Morningside Heights,-73.96693420000001,40.80400848
311,311,Upper West Side,-73.96020508,40.78139114
312,312,Midtown,-73.97453308,40.75799942
313,313,Hell's Kitchen,-73.98361969,40.76523972
314,314,Midtown,-73.98761749,40.7545166
315,315,Roosevelt Island,-73.95355225,40.76694107
316,316,Central Park,-73.95413971,40.77051163
317,317,SoHo,-74.0005188,40.72718048
318,318,Upper West Side,-73.97982788,40.78567123
319,319,Chelsea,-73.99401093,40.75011826
320,320,Greenwich Village,-74.00255585,40.72900772
321,321,Gowanus,-73.99850464,40.68167877
322,322,Hell's Kitchen,-73.99440002,40.75597
323,323,Midtown,-73.97686005,40.75564957
324,324,East Village,-73.98178864,40.72839737
325,325,Upper East Side,-73.94433594,40.78072739
326,326,Chelsea,-73.99385834,40.74569321
327,327,Roosevelt Island,-73.95718384,40.76612473
328,328,West Village,-74.00663757,40.73641586
329,329,Chelsea,-73.99158478,40.74988556
330,330,Upper East Side,-73.94895935,40.78153229
331,331,Lower East Side,-73.97619629,40.71545029
332,332,Midtown,-73.96585846,40.7624054
333,333,Morningside Heights,-73.96714783,40.80368042
334,334,Midtown,-73.98831177,40.75344849
335,335,Chelsea,-73.99580383,40.7387085
336,336,,0.0,0.0
337,337,Upper West Side,-73.96071625,40.77510452
338,338,Murray Hill,-73.97718811,40.75011826
339,339,Upper West Side,-73.98124695,40.77910995
340,340,Midtown,-73.97815704,40.75330353
341,341,Battery Park City,-74.01337433,40.71668243
342,342,Chelsea,-73.99399567,40.75115585
343,343,NoHo,-73.99149323,40.72718048
344,344,Midtown,-73.98123169,40.74708939
345,345,Central Park,-73.95397186,40.77299118
346,346,Roosevelt Island,-73.95794678,40.76094818
347,347,Upper West Side,-73.97483826,40.78792191
348,348,Midtown,-73.98917389,40.74798965
349,349,Central Park,-73.95298767,40.77674103
350,350,Chelsea,-73.99409485,40.75119019
351,351,Midtown,-73.96731567,40.75759125
352,352,Upper West Side,-73.97151184,40.78726959
353,353,Astoria,-73.90415955,40.77156067
354,354,East Village,-73.98046112,40.73006058
355,355,Battery Park City,-74.01632690000001,40.7147789
356,356,Downtown Brooklyn,-73.98692322,40.70106125
357,357,Upper West Side,-73.95861816,40.77793884
358,358,Midtown,-73.98161316,40.7465744
359,359,Midtown,-73.98471069,40.75410461
360,360,Midtown,-73.98828125,40.74925232
361,361,Upper West Side,-73.98087311,40.78173065
362,362,Murray Hill,-73.97661591,40.7507515
363,363,SoHo,-73.99848175,40.72587967
364,364,Hell's Kitchen,-73.98342896,40.76515961
365,365,Upper West Side,-73.96430206,40.79718018
366,366,Upper West Side,-73.97428894,40.79124069
367,367,Upper West Side,-73.97244263,40.79598236
368,368,East Village,-73.98152161,40.72107315
369,369,Midtown,-73.97202301,40.76263809
370,370,Central Park,-73.96528625,40.77164841
371,371,,-73.98834991,40.76905823
372,372,Midtown,-73.98960876,40.74871063
373,373,Upper West Side,-73.96144104,40.77782822
374,374,,-73.99029541,40.77191544
375,375,Midtown,-73.97696686,40.76464844
376,376,,0.0,0.0
377,377,Upper West Side,-73.97509766,40.78753662
378,378,Chelsea,-73.99134064,40.74981689
379,379,East Village,-73.98706055,40.722305299999995
380,380,Hell's Kitchen,-73.99442291,40.75665665
