VendorID	tpep_pickup_datetime	tpep_dropoff_datetime	passenger_count	trip_distance	pickup_longitude	pickup_latitude	RatecodeID	store_and_fwd_flag	dropoff_longitude	dropoff_latitude	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount
2	2016-01-01 0:01	2016-01-01 0:18	1	2.15	-73.97776031	40.75228119	1	N	-73.95682526	40.76807022	1	13	0.5	0.5	2.86	0	0.3	17.16
1	2016-01-01 0:01	2016-01-01 0:22	1	2.5	-73.99425507	40.73199463	1	N	-73.9786377	40.75138855	2	14.5	0.5	0.5	0	0	0.3	15.8
2	2016-01-01 0:01	2016-01-01 0:09	5	1.89	-73.98516083	40.74452972	1	N	-73.96546173	40.76285172	1	8.5	0.5	0.5	1	0	0.3	10.8
1	2016-01-01 0:01	2016-01-01 0:05	1	0.6	-73.98229218	40.75133133	1	N	-73.99134064	40.75033951	1	5	0.5	0.5	0	0	0.3	6.3
1	2016-01-01 0:01	2016-01-01 0:38	1	24	-73.99230194	40.74929047	5	N	-74.32032776	40.72052383	1	140	0	0	30.95	14.5	0.3	185.75
2	2016-01-01 0:01	2016-01-01 0:09	1	2.34	-73.93431854	40.75148392	1	N	-73.97251129	40.76491547	2	9.5	0.5	0.5	0	0	0.3	10.8
2	2016-01-01 0:01	2016-01-01 0:31	1	13.64	-73.78192139	40.64476013	1	N	-73.97924805	40.66186905	2	39	0.5	0.5	0	0	0.3	40.3
2	2016-01-01 0:01	2016-01-01 0:34	5	3.44	-73.95953369	40.78274536	1	N	-73.99375916	40.74558258	2	21.5	0.5	0.5	0	0	0.3	22.8
2	2016-01-01 0:01	2016-01-01 0:13	1	7.04	-73.95264435	40.77649689	1	N	-74.00563812	40.7091217	1	20.5	0.5	0.5	5.45	0	0.3	27.25
1	2016-01-01 0:01	2016-01-01 0:03	1	0.2	-73.9956131	40.76467133	1	N	-73.99214935	40.76414871	2	3.5	0.5	0.5	0	0	0.3	4.8
1	2016-01-01 0:01	2016-01-01 0:13	1	0.9	-73.97743225	40.75831604	1	N	-73.98344421	40.76686096	2	8.5	0.5	0.5	0	0	0.3	9.8
1	2016-01-01 0:01	2016-01-01 0:11	1	2	-73.927742	40.69787216	1	N	-73.96121216	40.69827652	1	9.5	0.5	0.5	2.7	0	0.3	13.5
1	2016-01-01 0:01	2016-01-01 0:03	1	0.3	-73.96659088	40.75758743	1	N	-73.96577454	40.75434875	1	3.5	0.5	0.5	1.2	0	0.3	6
1	2016-01-01 0:01	2016-01-01 0:15	1	1.8	-73.95474243	40.76550674	1	N	-73.98191833	40.76623154	1	10.5	0.5	0.5	0	0	0.3	11.8
2	2016-01-01 0:01	2016-01-01 0:03	2	0.37	-73.99769592	40.73765945	1	N	-73.99124146	40.73498154	2	3.5	0.5	0.5	0	0	0.3	4.8
1	2016-01-01 0:01	2016-01-01 0:07	2	1	-73.96755219	40.75685883	1	N	-73.97830963	40.74861145	1	6	0.5	0.5	1.45	0	0.3	8.75
1	2016-01-01 0:01	2016-01-01 0:14	1	5.1	-73.96469879	40.79679871	1	N	-74.0022049	40.74923706	2	17	0.5	0.5	0	0	0.3	18.3
1	2016-01-01 0:01	2016-01-01 0:13	1	1.8	-73.97010803	40.75979996	1	N	-73.98935699	40.74298859	1	9.5	0.5	0.5	2	0	0.3	12.8
2	2016-01-01 0:01	2016-01-01 0:12	1	2.25	-74.00189972	40.73940659	1	N	-73.97486877	40.74438858	1	10.5	0.5	0.5	2.36	0	0.3	14.16
2	2016-01-01 0:01	2016-01-01 0:06	1	0.87	-73.95522308	40.80437851	1	N	-73.96369934	40.79800034	2	5.5	0.5	0.5	0	0	0.3	6.8
2	2016-01-01 0:01	2016-01-01 0:27	6	8.78	-73.99662781	40.72460175	1	N	-73.86997986	40.75529099	2	27	0.5	0.5	0	0	0.3	28.3
1	2016-01-01 0:01	2016-01-01 0:10	1	1.6	-74.00466919	40.71595764	1	N	-73.98986053	40.73404312	2	8	0.5	0.5	0	0	0.3	9.3
2	2016-01-01 0:01	2016-01-01 0:09	1	1.67	-73.94828033	40.78263092	1	N	-73.9384613	40.79228973	1	8	0.5	0.5	1.86	0	0.3	11.16
2	2016-01-01 0:01	2016-01-01 0:09	1	1.11	-73.99861145	40.73817062	1	N	-73.99459076	40.75054932	1	7	0.5	0.5	1.66	0	0.3	9.96
1	2016-01-01 0:01	2016-01-01 0:23	2	6.5	-73.97226715	40.75986481	1	N	-73.87660217	40.74866486	2	22.5	0.5	0.5	0	0	0.3	23.8
1	2016-01-01 0:01	2016-01-01 0:09	1	1.9	-73.95974731	40.80129242	1	N	-73.95064545	40.8229332	2	9	0.5	0.5	0	0	0.3	10.3
